,ID,Time,Status,Latitude_start,Longitude_start,Latitude_end,Longitude_end,Distance,Max_Speed,Avg_Speed,Season,Zones,x_start,y_start,x_end,y_end
0,AL011970,1970-05-17 18:00:00, TD,11.5,-79.0,11.7,-79.2,31.370285139075055,25.0,5.228380856512509,Spring,Mexico_Caribbean,-8794239.772668613,1288857.180495907,-8816503.670827268,1311585.3072259454
1,AL011970,1970-05-18 00:00:00, TD,11.7,-79.2,12.1,-79.7,70.9659623761612,25.0,11.827660396026866,Spring,Mexico_Caribbean,-8816503.670827268,1311585.3072259454,-8872163.416223904,1357091.169157998
2,AL011970,1970-05-18 06:00:00, TD,12.1,-79.7,12.3,-80.1,49.50278542007146,25.0,8.250464236678576,Spring,Mexico_Caribbean,-8872163.416223904,1357091.169157998,-8916691.212541213,1379869.5080911643
3,AL011970,1970-05-18 12:00:00, TD,12.3,-80.1,12.5,-80.5,49.49535549906944,25.0,8.249225916511573,Spring,Mexico_Caribbean,-8916691.212541213,1379869.5080911643,-8961219.008858522,1402665.189967927
4,AL011970,1970-05-18 18:00:00, TD,12.5,-80.5,13.0,-81.0,78.38411988356742,25.0,13.064019980594571,Spring,Mexico_Caribbean,-8961219.008858522,1402665.189967927,-9016878.75425516,1459732.2718804963
5,AL011970,1970-05-19 00:00:00, TD,13.0,-81.0,13.5,-81.5,78.36476378939165,25.0,13.060793964898608,Spring,Mexico_Caribbean,-9016878.75425516,1459732.2718804963,-9072538.499651797,1516914.445337237
6,AL011970,1970-05-19 06:00:00, TD,13.5,-81.5,14.0,-82.0,78.34467173932772,25.0,13.057445289887953,Spring,Mexico_Caribbean,-9072538.499651797,1516914.445337237,-9128198.245048434,1574216.548161465
7,AL011970,1970-05-19 12:00:00, TD,14.0,-82.0,14.5,-82.5,78.32384469772053,25.0,13.053974116286755,Spring,Mexico_Caribbean,-9128198.245048434,1574216.548161465,-9183857.99044507,1631643.4670073597
8,AL011970,1970-05-19 18:00:00, TD,14.5,-82.5,15.5,-82.5,111.19492664455873,25.0,18.532487774093124,Spring,Mexico_Caribbean,-9183857.99044507,1631643.4670073597,-9183857.99044507,1746891.5570753578
9,AL011970,1970-05-20 00:00:00, TS,15.5,-82.5,16.2,-82.3,80.89308274162161,35.0,13.482180456936936,Spring,Mexico_Caribbean,-9183857.99044507,1746891.5570753578,-9161594.092286415,1827895.5331194468
10,AL011970,1970-05-20 06:00:00, TS,16.2,-82.3,16.8,-81.9,79.92953478774612,35.0,13.32158913129102,Spring,Mexico_Caribbean,-9161594.092286415,1827895.5331194468,-9117066.295969106,1897556.232409336
11,AL011970,1970-05-20 12:00:00, HU,16.8,-81.9,17.2,-81.6,55.37843942263408,65.0,9.229739903772346,Spring,Mexico_Caribbean,-9117066.295969106,1897556.232409336,-9083670.448731124,1944118.6941882698
12,AL011970,1970-05-20 18:00:00, HU,17.2,-81.6,18.0,-81.0,110.72587801189236,70.0,18.45431300198206,Spring,Mexico_Caribbean,-9083670.448731124,1944118.6941882698,-9016878.75425516,2037548.5447506013
13,AL011970,1970-05-21 00:00:00, TS,18.0,-81.0,18.2,-80.3,80.01993650925306,55.0,13.336656084875509,Spring,Mexico_Caribbean,-9016878.75425516,2037548.5447506013,-8938955.110699868,2060971.5257031762
14,AL011970,1970-05-21 06:00:00, TS,18.2,-80.3,18.5,-80.2,35.118199715138275,50.0,5.853033285856379,Spring,Mexico_Caribbean,-8938955.110699868,2060971.5257031762,-8927823.16162054,2096156.5384662848
15,AL011970,1970-05-21 12:00:00, TS,18.5,-80.2,19.0,-80.0,59.770650755327516,45.0,9.96177512588792,Spring,Mexico_Caribbean,-8927823.16162054,2096156.5384662848,-8905559.263461886,2154935.9150858917
16,AL011970,1970-05-21 18:00:00, TS,19.0,-80.0,19.6,-80.1,67.61155499276968,40.0,11.268592498794947,Spring,Mexico_Caribbean,-8905559.263461886,2154935.9150858917,-8916691.212541213,2225705.1534627816
17,AL011970,1970-05-22 00:00:00, TS,19.6,-80.1,19.3,-80.6,64.15351677961803,35.0,10.692252796603006,Spring,Mexico_Caribbean,-8916691.212541213,2225705.1534627816,-8972350.95793785,2190288.0931170927
18,AL011970,1970-05-22 06:00:00, TD,19.3,-80.6,19.1,-81.1,59.158136613579515,30.0,9.859689435596586,Spring,Mexico_Caribbean,-8972350.95793785,2190288.0931170927,-9028010.703334486,2166712.8397487444
19,AL011970,1970-05-22 12:00:00, TD,19.1,-81.1,19.0,-81.8,77.5645263442567,30.0,12.927421057376117,Spring,Mexico_Caribbean,-9028010.703334486,2166712.8397487444,-9105934.34688978,2154935.9150858917
20,AL011970,1970-05-22 18:00:00, TD,19.0,-81.8,19.2,-82.7,101.16323801867948,30.0,16.860539669779914,Spring,Mexico_Caribbean,-9105934.34688978,2154935.9150858917,-9206121.888603725,2178496.88424124
21,AL011970,1970-05-23 00:00:00, TD,19.2,-82.7,19.8,-83.5,110.17009968222018,30.0,18.36168328037003,Spring,Mexico_Caribbean,-9206121.888603725,2178496.88424124,-9295177.481238343,2249353.171430874
22,AL011970,1970-05-23 06:00:00, TD,19.8,-83.5,21.0,-83.9,140.4312897961866,25.0,23.4052149660311,Spring,Mexico_Caribbean,-9295177.481238343,2249353.171430874,-9339705.277555654,2391878.587944315
23,AL011970,1970-05-23 12:00:00, TD,21.0,-83.9,21.9,-84.0,100.6700385442353,25.0,16.77833975737255,Spring,Mexico_Caribbean,-9339705.277555654,2391878.587944315,-9350837.22663498,2499523.266067402
24,AL011970,1970-05-23 18:00:00, TD,21.9,-84.0,23.0,-84.0,122.31441930901475,25.0,20.385736551502458,Spring,Mexico_Caribbean,-9350837.22663498,2499523.266067402,-9350837.22663498,2632018.637586423
25,AL011970,1970-05-24 00:00:00, TD,23.0,-84.0,24.0,-84.0,111.19492664455873,25.0,18.532487774093124,Spring,Mexico_Caribbean,-9350837.22663498,2632018.637586423,-9350837.22663498,2753408.109364979
26,AL011970,1970-05-24 06:00:00, TD,24.0,-84.0,25.2,-84.0,133.4339119734704,25.0,22.238985328911735,Spring,Mexico_Caribbean,-9350837.22663498,2753408.109364979,-9350837.22663498,2900330.1825636644
27,AL011970,1970-05-24 12:00:00, TD,25.2,-84.0,26.8,-83.9,178.24150363604733,25.0,29.706917272674556,Spring,Mexico_Caribbean,-9350837.22663498,2900330.1825636644,-9339705.277555654,3098506.536103414
28,AL011970,1970-05-24 18:00:00, TD,26.8,-83.9,28.3,-83.6,169.9101840057293,25.0,28.318364000954883,Spring,Mexico_Caribbean,-9339705.277555654,3098506.536103414,-9306309.43031767,3286849.8476637644
29,AL011970,1970-05-25 00:00:00, TD,28.3,-83.6,29.5,-82.9,153.25180779546952,25.0,25.541967965911585,Spring,Mexico_Caribbean,-9306309.43031767,3286849.8476637644,-9228385.78676238,3439440.06073126
30,AL011970,1970-05-25 06:00:00, TD,29.5,-82.9,30.6,-82.2,143.57007570256815,25.0,23.928345950428024,Spring,Mexico_Caribbean,-9228385.78676238,3439440.06073126,-9150462.143207088,3580909.760461875
31,AL011970,1970-05-25 12:00:00, TD,30.6,-82.2,31.8,-81.6,148.10145295114575,25.0,24.683575491857624,Spring,Mexico_Caribbean,-9150462.143207088,3580909.760461875,-9083670.448731124,3737086.056237236
32,AL011970,1970-05-25 18:00:00, TD,31.8,-81.6,32.6,-81.2,98.68812887133798,25.0,16.44802147855633,Spring,Atlantic,-9083670.448731124,3737086.056237236,-9039142.652413817,3842330.2172661168
33,AL011970,1970-05-26 00:00:00, TD,32.6,-81.2,33.3,-80.7,94.34523968218379,25.0,15.724206613697298,Spring,Atlantic,-9039142.652413817,3842330.2172661168,-8983482.907017179,3935191.9821054386
34,AL011970,1970-05-26 06:00:00, TD,33.3,-80.7,34.8,-79.9,187.2297513531544,25.0,31.204958558859065,Spring,Atlantic,-8983482.907017179,3935191.9821054386,-8894427.31438256,4136735.049397425
35,AL011970,1970-05-26 12:00:00, TD,34.8,-79.9,35.7,-78.7,161.8262184397194,25.0,26.971036406619902,Spring,Atlantic,-8894427.31438256,4136735.049397425,-8760843.925430631,4259419.9655479165
36,AL011970,1970-05-26 18:00:00, TD,35.7,-78.7,36.5,-77.0,200.53895307562183,25.0,33.423158845936975,Spring,Atlantic,-8760843.925430631,4259419.9655479165,-8571600.791082066,4369640.510649828
37,AL011970,1970-05-27 00:00:00, EX,36.5,-77.0,37.0,-75.5,167.7685694329823,25.0,27.961428238830383,Spring,Atlantic,-8571600.791082066,4369640.510649828,-8404621.554892154,4439106.787250586
38,AL011970,1970-05-27 06:00:00, EX,37.0,-75.5,,,,25.0,,Spring,Atlantic,-8404621.554892154,4439106.787250586,,
39,AL021970,1970-07-19 00:00:00, TD,18.5,-83.5,18.8,-84.5,114.68434391498253,25.0,19.114057319163756,Summer,Mexico_Caribbean,-9295177.481238343,2096156.5384662848,-9406496.972031618,2131403.2476535104
40,AL021970,1970-07-19 06:00:00, TD,18.8,-84.5,19.4,-85.2,101.70036991294427,25.0,16.950061652157377,Summer,Mexico_Caribbean,-9406496.972031618,2131403.2476535104,-9484420.615586907,2202086.5110550304
41,AL021970,1970-07-19 12:00:00, TD,19.4,-85.2,20.3,-85.6,109.24587095717449,30.0,18.207645159529083,Summer,Mexico_Caribbean,-9484420.615586907,2202086.5110550304,-9528948.411904218,2308604.1153988433
42,AL021970,1970-07-19 18:00:00, TD,20.3,-85.6,21.3,-85.9,115.93476851638891,30.0,19.322461419398152,Summer,Mexico_Caribbean,-9528948.411904218,2308604.1153988433,-9562344.2591422,2427686.5436241785
43,AL021970,1970-07-20 00:00:00, TD,21.3,-85.9,22.3,-86.2,115.919553613457,30.0,19.319925602242833,Summer,Mexico_Caribbean,-9562344.2591422,2427686.5436241785,-9595740.106380183,2547582.1334137605
44,AL021970,1970-07-20 06:00:00, TD,22.3,-86.2,23.3,-86.4,113.31185598537793,30.0,18.885309330896323,Summer,Mexico_Caribbean,-9595740.106380183,2547582.1334137605,-9618004.004538838,2668339.105750191
45,AL021970,1970-07-20 12:00:00, TS,23.3,-86.4,24.1,-86.6,91.57994229125696,40.0,15.263323715209493,Summer,Mexico_Caribbean,-9618004.004538838,2668339.105750191,-9640267.90269749,2765598.287796373
46,AL021970,1970-07-20 18:00:00, TS,24.1,-86.6,25.0,-86.6,100.07543398010272,45.0,16.679238996683786,Summer,Mexico_Caribbean,-9640267.90269749,2765598.287796373,-9640267.90269749,2875744.6243522423
47,AL021970,1970-07-21 00:00:00, TS,25.0,-86.6,25.8,-86.7,89.6148925400542,50.0,14.935815423342367,Summer,Mexico_Caribbean,-9640267.90269749,2875744.6243522423,-9651399.85177682,2974331.0993660805
48,AL021970,1970-07-21 06:00:00, TS,25.8,-86.7,26.6,-86.6,89.61279633963885,55.0,14.935466056606474,Summer,Mexico_Caribbean,-9651399.85177682,2974331.0993660805,-9640267.90269749,3073585.3046073965
