,ID,Name,Data_length,Year
0,AL011851,            UNNAMED,14,1851
1,AL021851,            UNNAMED,1,1851
2,AL031851,            UNNAMED,1,1851
3,AL041851,            UNNAMED,49,1851
4,AL051851,            UNNAMED,16,1851
5,AL061851,            UNNAMED,17,1851
6,AL011852,            UNNAMED,45,1852
7,AL021852,            UNNAMED,8,1852
8,AL031852,            UNNAMED,20,1852
9,AL041852,            UNNAMED,36,1852
10,AL051852,            UNNAMED,25,1852
11,AL011853,            UNNAMED,1,1853
12,AL021853,            UNNAMED,1,1853
13,AL031853,            UNNAMED,48,1853
14,AL041853,            UNNAMED,12,1853
15,AL051853,            UNNAMED,1,1853
16,AL061853,            UNNAMED,22,1853
17,AL071853,            UNNAMED,1,1853
18,AL081853,            UNNAMED,14,1853
19,AL011854,            UNNAMED,11,1854
20,AL021854,            UNNAMED,1,1854
21,AL031854,            UNNAMED,25,1854
22,AL041854,            UNNAMED,11,1854
23,AL051854,            UNNAMED,12,1854
24,AL011855,            UNNAMED,1,1855
25,AL021855,            UNNAMED,6,1855
26,AL031855,            UNNAMED,1,1855
27,AL041855,            UNNAMED,16,1855
28,AL051855,            UNNAMED,11,1855
29,AL011856,            UNNAMED,14,1856
30,AL021856,            UNNAMED,8,1856
31,AL031856,            UNNAMED,12,1856
32,AL041856,            UNNAMED,1,1856
33,AL051856,            UNNAMED,40,1856
34,AL061856,            UNNAMED,20,1856
35,AL011857,            UNNAMED,8,1857
36,AL021857,            UNNAMED,47,1857
37,AL031857,            UNNAMED,20,1857
38,AL041857,            UNNAMED,29,1857
39,AL011858,            UNNAMED,1,1858
40,AL021858,            UNNAMED,1,1858
41,AL031858,            UNNAMED,16,1858
42,AL041858,            UNNAMED,32,1858
43,AL051858,            UNNAMED,14,1858
44,AL061858,            UNNAMED,22,1858
45,AL011859,            UNNAMED,1,1859
46,AL021859,            UNNAMED,12,1859
47,AL031859,            UNNAMED,6,1859
48,AL041859,            UNNAMED,7,1859
49,AL051859,            UNNAMED,16,1859
50,AL061859,            UNNAMED,20,1859
51,AL071859,            UNNAMED,11,1859
