,ID,Latitude_start,Longitude_start,Season_start,Zones_start,x_start,y_start,Year_start,Month_start,Latitude_end,Longitude_end,Season_end,Zones_end,x_end,y_end,Year_end,Month_end,Duration,Distance,Distance_draw
0,AL011970,11.5,-79.0,Spring,Mexico_Caribbean,-8794239.772668613,1288857.180495907,1970,5,37.0,-75.5,Spring,Atlantic,-8404621.554892154,4439106.787250586,1970,5,9.5 days,3919.1199807771054,164603.03919263842
1,AL021970,18.5,-83.5,Summer,Mexico_Caribbean,-9295177.481238343,2096156.5384662848,1970,7,37.2,-86.9,Summer,Mexico_Caribbean,-9673663.749935474,4467020.993627968,1970,7,4.5 days,2304.65357646812,96795.45021166104
2,AL031970,33.0,-76.5,Summer,Atlantic,-8515941.04568543,3895303.963393895,1970,7,42.0,-56.0,Summer,Atlantic,-6233891.484423323,5160979.444049783,1970,8,5.25 days,3065.6317759435524,128756.5345896292
3,AL041970,18.5,-82.5,Summer,Mexico_Caribbean,-9183857.99044507,2096156.5384662848,1970,7,32.3,-107.0,Summer,Mexico_Caribbean,-11911185.514880272,3802755.031859114,1970,8,5.75 days,3170.3460355379793,133154.53349259513
4,AL051970,14.0,-18.0,Summer,Atlantic,-2003750.8342789244,1574216.548161465,1970,8,17.5,-44.0,Summer,Atlantic,-4898057.594904037,1979106.499724387,1970,8,4.0 days,2917.5398310578557,122536.67290442994
5,AL061970,28.0,-75.0,Summer,Atlantic,-8348961.809495519,3248973.7896509725,1970,8,28.0,-81.0,Summer,Atlantic,-9016878.75425516,3248973.7896509725,1970,8,1.5 days,647.3512917498429,27188.7542534934
6,AL071970,19.0,-21.0,Summer,Atlantic,-2337709.3066587453,2154935.9150858917,1970,8,22.0,-64.0,Summer,Atlantic,-7124447.410769509,2511525.234845713,1970,8,7.0 days,4799.346474373812,201572.5519237001
7,AL081970,27.0,-75.5,Summer,Atlantic,-8404621.554892154,3123471.749104576,1970,8,44.0,-56.0,Summer,Atlantic,-6233891.484423323,5465442.183322749,1970,8,3.5 days,3477.497345074211,146054.88849311686
8,AL091970,11.0,-41.0,Summer,Atlantic,-4564099.122524217,1232106.80189676,1970,8,16.2,-74.4,Summer,Mexico_Caribbean,-8282170.115019555,1827895.5331194468,1970,8,6.0 days,3747.5346598537217,157396.45571385633
9,AL101970,18.5,-44.0,Autumn,Atlantic,-4898057.594904037,2096156.5384662848,1970,9,19.9,-52.3,Autumn,Atlantic,-5822009.368488207,2261188.30930251,1970,9,5.75 days,1666.3172125099074,69985.32292541611
10,AL111970,15.0,-19.0,Autumn,Atlantic,-2115070.325072198,1689200.1396078938,1970,9,17.5,-30.0,Autumn,Atlantic,-3339584.7237982075,1979106.499724387,1970,9,2.25 days,1248.46501114418,52435.53046805556
11,AL121970,15.3,-83.5,Autumn,Mexico_Caribbean,-9295177.481238343,1723798.498982408,1970,9,24.2,-100.5,Autumn,Mexico_Caribbean,-11187608.824723994,2777797.98711139,1970,9,4.75 days,2271.2439904055577,95392.24759703342
12,AL131970,25.5,-77.5,Autumn,Atlantic,-8627260.536478702,2937284.4374238458,1970,9,33.8,-97.2,Autumn,Mexico_Caribbean,-10820254.505106192,4001978.423556842,1970,9,5.5 days,2597.1093912894194,109078.59443415562
13,AL141970,15.5,-21.0,Autumn,Atlantic,-2337709.3066587453,1746891.5570753578,1970,9,24.8,-31.0,Autumn,Atlantic,-3450904.2145914813,2851199.0521615394,1970,9,3.25 days,1513.8160851975967,63580.275578299064
14,AL151970,9.0,-15.0,Autumn,Atlantic,-1669792.3618991037,1006021.0627551336,1970,9,26.5,-54.5,Autumn,Atlantic,-6066912.24823341,3061141.038886033,1970,10,18.0 days,8664.471708564208,363907.81175969675
15,AL161970,22.4,-75.4,Autumn,Atlantic,-8393489.605812829,2559618.259501404,1970,9,23.0,-99.5,Autumn,Mexico_Caribbean,-11076289.333930723,2632018.637586423,1970,10,8.5 days,2867.7696631767876,120446.32585342508
16,AL171970,27.0,-62.0,Autumn,Atlantic,-6901808.4291829625,3123471.749104576,1970,9,42.5,-52.5,Autumn,Atlantic,-5844273.266646863,5236173.783920941,1970,10,2.0 days,2003.4526243376679,84145.01022218206
17,AL181970,24.5,-68.5,Autumn,Atlantic,-7625385.119339243,2814454.732309769,1970,10,47.0,-53.0,Autumn,Atlantic,-5899933.0120434975,5942074.072431107,1970,10,5.5 days,3803.9359357909793,159765.30930322112
18,AL191970,34.0,-48.0,Autumn,Atlantic,-5343335.558077132,4028802.026134408,1970,10,46.0,-25.0,Autumn,Atlantic,-2782987.2698318395,5780349.220256355,1970,10,8.0 days,3235.469604965501,135889.72340855104
19,AL011971,33.5,-75.5,Summer,Atlantic,-8404621.554892154,3961860.217445746,1971,7,47.6,-49.6,Summer,Atlantic,-5521446.74334637,6040565.208780058,1971,7,3.5 days,3164.933409840683,132927.20321330868
20,AL021971,29.0,-92.0,Summer,Mexico_Caribbean,-10241393.15298117,3375646.03491931,1971,7,30.5,-96.0,Summer,Mexico_Caribbean,-10686671.116154265,3567983.4559358223,1971,7,1.0 days,461.4123635316555,19379.31926832953
21,AL031971,27.0,-97.0,Summer,Mexico_Caribbean,-10797990.606947538,3123471.749104576,1971,7,27.0,-99.0,Summer,Mexico_Caribbean,-11020629.588534083,3123471.749104576,1971,7,1.0 days,216.24516654584602,9082.296994925533
22,AL041971,31.0,-63.5,Summer,Atlantic,-7068787.665372873,3632749.143384427,1971,8,58.0,-43.0,Summer,Atlantic,-4786738.104110763,7967317.535015907,1971,8,4.0 days,4027.7220634655246,169164.32666555204
23,AL051971,25.5,-84.5,Summer,Mexico_Caribbean,-9406496.972031618,2937284.4374238458,1971,8,30.5,-90.5,Summer,Mexico_Caribbean,-10074413.916791258,3567983.4559358223,1971,8,3.0 days,863.3935581316483,36262.52944152923
24,AL061971,26.7,-79.9,Summer,Atlantic,-8894427.31438256,3086040.45132919,1971,8,49.5,-57.7,Summer,Atlantic,-6423134.618771885,6360130.740921419,1971,8,7.0 days,3539.0650774784813,148640.7332540962
25,AL071971,26.0,-83.5,Summer,Mexico_Caribbean,-9295177.481238343,2999080.9434706424,1971,8,30.0,-84.0,Summer,Mexico_Caribbean,-9350837.22663498,3503549.843504374,1971,8,4.0 days,780.2554022724702,32770.726895443746
26,AL081971,13.0,-52.5,Summer,Atlantic,-5844273.266646863,1459732.2718804963,1971,8,18.0,-88.5,Summer,Mexico_Caribbean,-9851774.935204713,2037548.5447506013,1971,8,7.0 days,4090.4775408390046,171800.0567152382
27,AL091971,11.5,-47.0,Summer,Atlantic,-5232016.067283859,1288857.180495907,1971,8,48.0,-68.0,Summer,Atlantic,-7569725.373942602,6106854.83488507,1971,8,8.75 days,6429.446737235114,270036.7629638748
28,AL101971,24.0,-73.0,Summer,Atlantic,-8126322.827908971,2753408.109364979,1971,8,30.0,-91.0,Autumn,Mexico_Caribbean,-10130073.662187897,3503549.843504374,1971,9,4.0 days,2126.5535950423346,89315.25099177806
29,AL111971,27.5,-87.5,Autumn,Mexico_Caribbean,-9740455.444411438,3186080.2333650086,1971,9,26.9,-100.3,Autumn,Mexico_Caribbean,-11165344.92656534,3110983.6161992387,1971,9,9.5 days,2011.5949000564788,84486.9858023721
30,AL121971,13.5,-17.5,Autumn,Atlantic,-1948091.0888822882,1516914.4453372369,1971,9,17.0,-42.5,Autumn,Atlantic,-4731078.358714127,1920825.0403774653,1971,9,5.25 days,2840.176204871814,119287.4006046162
31,AL131971,11.4,-58.0,Autumn,Atlantic,-6456530.466009867,1277499.1866471171,1971,9,34.0,-84.7,Autumn,Mexico_Caribbean,-9428760.870190272,4028802.026134408,1971,9,12.5 days,6617.954438707268,277954.0864257053
