,ID,Status,Latitude,Longitude,Max_Speed,Min_Pressure,Low_Rad_NE,Low_Rad_SE,Low_Rad_SW,Low_Rad_NW,Med_Rad_NE,Med_Rad_SE,Med_Rad_SW,Med_Rad_NW,High_Rad_NE,High_Rad_SE,High_Rad_SW,High_Rad_NW,Time
0,AL011970, TD,11.5,-79.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-17 18:00:00
1,AL011970, TD,11.7,-79.2,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-18 00:00:00
2,AL011970, TD,12.1,-79.7,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-18 06:00:00
3,AL011970, TD,12.3,-80.1,25.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-18 12:00:00
4,AL011970, TD,12.5,-80.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-18 18:00:00
5,AL011970, TD,13.0,-81.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-19 00:00:00
6,AL011970, TD,13.5,-81.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-19 06:00:00
7,AL011970, TD,14.0,-82.0,25.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-19 12:00:00
8,AL011970, TD,14.5,-82.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-19 18:00:00
9,AL011970, TS,15.5,-82.5,35.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-20 00:00:00
10,AL011970, TS,16.2,-82.3,35.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-20 06:00:00
11,AL011970, HU,16.8,-81.9,65.0,,,,,,,,,,,,,,1970-05-20 12:00:00
12,AL011970, HU,17.2,-81.6,70.0,993.0,,,,,,,,,,,,,1970-05-20 18:00:00
13,AL011970, TS,18.0,-81.0,55.0,,,,,,,,,,0.0,0.0,0.0,0.0,1970-05-21 00:00:00
14,AL011970, TS,18.2,-80.3,50.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-21 06:00:00
15,AL011970, TS,18.5,-80.2,45.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-21 12:00:00
16,AL011970, TS,19.0,-80.0,40.0,998.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-21 18:00:00
17,AL011970, TS,19.6,-80.1,35.0,1004.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-22 00:00:00
18,AL011970, TD,19.3,-80.6,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-22 06:00:00
19,AL011970, TD,19.1,-81.1,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-22 12:00:00
20,AL011970, TD,19.0,-81.8,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-22 18:00:00
21,AL011970, TD,19.2,-82.7,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-23 00:00:00
22,AL011970, TD,19.8,-83.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-23 06:00:00
23,AL011970, TD,21.0,-83.9,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-23 12:00:00
24,AL011970, TD,21.9,-84.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-23 18:00:00
25,AL011970, TD,23.0,-84.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-24 00:00:00
26,AL011970, TD,24.0,-84.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-24 06:00:00
27,AL011970, TD,25.2,-84.0,25.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-24 12:00:00
28,AL011970, TD,26.8,-83.9,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-24 18:00:00
29,AL011970, TD,28.3,-83.6,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-25 00:00:00
30,AL011970, TD,29.5,-82.9,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-25 06:00:00
31,AL011970, TD,30.6,-82.2,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-25 12:00:00
32,AL011970, TD,31.8,-81.6,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-25 18:00:00
33,AL011970, TD,32.6,-81.2,25.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-26 00:00:00
34,AL011970, TD,33.3,-80.7,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-26 06:00:00
35,AL011970, TD,34.8,-79.9,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-26 12:00:00
36,AL011970, TD,35.7,-78.7,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-26 18:00:00
37,AL011970, EX,36.5,-77.0,25.0,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-27 00:00:00
38,AL011970, EX,37.0,-75.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-27 06:00:00
39,AL021970, TD,18.5,-83.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-19 00:00:00
40,AL021970, TD,18.8,-84.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-19 06:00:00
41,AL021970, TD,19.4,-85.2,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-19 12:00:00
42,AL021970, TD,20.3,-85.6,30.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-19 18:00:00
43,AL021970, TD,21.3,-85.9,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-20 00:00:00
44,AL021970, TD,22.3,-86.2,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-20 06:00:00
45,AL021970, TS,23.3,-86.4,40.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-07-20 12:00:00
