,ID,Status,Latitude,Longitude,Max_Speed,Min_Pressure,Low_Rad_NE,Low_Rad_SE,Low_Rad_SW,Low_Rad_NW,Med_Rad_NE,Med_Rad_SE,Med_Rad_SW,Med_Rad_NW,High_Rad_NE,High_Rad_SE,High_Rad_SW,High_Rad_NW,Time,x,y,Season,Zones
0,AL011970, TD,11.5,-79.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-17 18:00:00,-8794239.772668613,1288857.180495907,Spring,Mexico_Caribbean
1,AL011970, TD,11.7,-79.2,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-18 00:00:00,-8816503.670827268,1311585.3072259454,Spring,Mexico_Caribbean
2,AL011970, TD,12.1,-79.7,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-18 06:00:00,-8872163.416223904,1357091.169157998,Spring,Mexico_Caribbean
3,AL011970, TD,12.3,-80.1,25.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-18 12:00:00,-8916691.212541213,1379869.5080911643,Spring,Mexico_Caribbean
4,AL011970, TD,12.5,-80.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-18 18:00:00,-8961219.008858522,1402665.189967927,Spring,Mexico_Caribbean
5,AL011970, TD,13.0,-81.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-19 00:00:00,-9016878.75425516,1459732.2718804963,Spring,Mexico_Caribbean
6,AL011970, TD,13.5,-81.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-19 06:00:00,-9072538.499651797,1516914.4453372373,Spring,Mexico_Caribbean
7,AL011970, TD,14.0,-82.0,25.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-19 12:00:00,-9128198.245048434,1574216.548161465,Spring,Mexico_Caribbean
8,AL011970, TD,14.5,-82.5,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-19 18:00:00,-9183857.99044507,1631643.4670073595,Spring,Mexico_Caribbean
9,AL011970, TS,15.5,-82.5,35.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-05-20 00:00:00,-9183857.99044507,1746891.5570753578,Spring,Mexico_Caribbean
