ID,Latitude_start,Longitude_start,Year_start,Month_start,Season,Zones,x_start,y_start,Latitude_end,Longitude_end,Year_end,Month_end,x_end,y_end,Duration,Distance,Distance_draw
AL011970,11.5,-79.0,1970,5,Spring,Mexico_Caribean,-8794239.772668613,1288857.180495907,37.0,-75.5,1970,5,-8404621.554892154,4439106.787250586,9 days 12:00:00.000000000,2861.4044745159476,120178.9879296698
AL021970,18.5,-83.5,1970,7,Summer,Mexico_Caribean,-9295177.481238345,2096156.5384662852,37.2,-86.9,1970,7,-9673663.749935474,4467020.993627968,4 days 12:00:00.000000000,2111.819702439455,88696.42750245711
AL031970,33.0,-76.5,1970,7,Summer,Atlantic,-8515941.04568543,3895303.9633938945,42.0,-56.0,1970,8,-6233891.484423321,5160979.444049783,5 days 06:00:00.000000000,2380.521747900083,99981.91341180349
AL041970,18.5,-82.5,1970,7,Summer,Mexico_Caribean,-9183857.99044507,2096156.5384662852,32.3,-107.0,1970,8,-11911185.514880273,3802755.0318591143,5 days 18:00:00.000000000,3074.8904052758685,129145.39702158648
AL051970,14.0,-18.0,1970,8,Summer,Atlantic,-2003750.8342789244,1574216.548161465,17.5,-44.0,1970,8,-4898057.594904037,1979106.4997243867,4 days 00:00:00.000000000,2890.2210186757634,121389.28278438206
AL061970,28.0,-75.0,1970,8,Summer,Atlantic,-8348961.809495519,3248973.7896509725,28.0,-81.0,1970,8,-9016878.75425516,3248973.7896509725,1 days 12:00:00.000000000,647.334443309185,27188.04661898577
AL071970,19.0,-21.0,1970,8,Summer,Atlantic,-2337709.3066587453,2154935.915085892,22.0,-64.0,1970,8,-7124447.410769509,2511525.234845713,7 days 00:00:00.000000000,4713.905992776684,197984.05169662074
AL081970,27.0,-75.5,1970,8,Summer,Atlantic,-8404621.554892154,3123471.749104577,44.0,-56.0,1970,8,-6233891.484423321,5465442.183322749,3 days 12:00:00.000000000,2805.622848670468,117836.15964415966
AL091970,11.0,-41.0,1970,8,Summer,Atlantic,-4564099.122524217,1232106.80189676,16.2,-74.4,1970,8,-8282170.115019555,1827895.5331194468,6 days 00:00:00.000000000,3733.7153178508215,156816.0433497345
AL101970,18.5,-44.0,1970,9,Autumn,Atlantic,-4898057.594904037,2096156.5384662852,19.9,-52.3,1970,9,-5822009.368488208,2261188.30930251,5 days 18:00:00.000000000,923.2185071167419,38775.17729890316
AL111970,15.0,-19.0,1970,9,Autumn,Atlantic,-2115070.325072198,1689200.1396078935,17.5,-30.0,1970,9,-3339584.7237982075,1979106.4997243867,2 days 06:00:00.000000000,1242.4462674508757,52182.74323293678
AL121970,15.3,-83.5,1970,9,Autumn,Mexico_Caribean,-9295177.481238345,1723798.4989824079,24.2,-100.5,1970,9,-11187608.824723994,2777797.98711139,4 days 18:00:00.000000000,2110.8032005348527,88653.73442246382
AL131970,25.5,-77.5,1970,9,Autumn,Atlantic,-8627260.536478702,2937284.4374238458,33.8,-97.2,1970,9,-10820254.505106192,4001978.423556841,5 days 12:00:00.000000000,2311.4329663905896,97080.18458840477
AL141970,15.5,-21.0,1970,9,Autumn,Atlantic,-2337709.3066587453,1746891.5570753578,24.8,-31.0,1970,9,-3450904.214591481,2851199.0521615394,3 days 06:00:00.000000000,1507.029228485604,63295.22759639537
